conversation_id,tweet_id,created_at,text,intent,escalation_label,notes,label_source
2143399,2143399,Wed Nov 08 22:56:13 +0000 2017,"i finally got a replacement phone for my broken iphone 6 but i forgot my password for my apple id, i was trying to reset it but now apple does this recovery thing that takes hours for my request to accepted. @AppleSupport i just want to reset my forgotten password man",,,HUMAN_REVIEW_REQUIRED,human_pending
2595549,2595549,Fri Nov 17 02:35:26 +0000 2017,"@AppleSupport setting up a replacement iPhone and your verification put it in a different state, should I just accept it? Why include that info if it's so wrong?",,,HUMAN_REVIEW_REQUIRED,human_pending
2146662,2146662,Wed Nov 08 20:13:11 +0000 2017,@AppleSupport is there anyway I can reset my Apple ID password without having to wait 18 hours?🤨,,,HUMAN_REVIEW_REQUIRED,human_pending
2298603,2298603,Sun Nov 12 06:29:03 +0000 2017,"@115858 I am facing issues with my apple id recovery process. I am having two factor authentication enabled on my phone. when i submitted a request to recover my password , I receieved an email saying that password will be recovered in six days. help me pls",,,HUMAN_REVIEW_REQUIRED,human_pending
1912784,1912784,Fri Jul 28 10:08:18 +0000 2017,"unintentionally running High Sierra Public Beta; 10.12.6 update caused blank screen after login and then endless spinner, @AppleSupport?",,,HUMAN_REVIEW_REQUIRED,human_pending
553461,553461,Sat Dec 02 16:28:42 +0000 2017,"@AppleSupport installed the new Lion on my MacBook Air, my emails aren’t connecting properly and it won’t accept my passwords - I know they’re correct. Can you help me before the Mac goes through the window!!!! 😤😤",,,HUMAN_REVIEW_REQUIRED,human_pending
1482374,1482374,Fri Nov 03 01:33:36 +0000 2017,@AppleSupport your forgot password reset makes me want to blow my bloody brains out. i keep typing the verification code and it won't take.,,,HUMAN_REVIEW_REQUIRED,human_pending
506490,506490,Fri Dec 01 21:16:21 +0000 2017,"@AppleSupport hello, Ive changed i-phones and forgotten my Apple ID password.  Plus BT have deleted the email address u send verification to",,,HUMAN_REVIEW_REQUIRED,human_pending
584826,584826,Sun Dec 03 07:31:11 +0000 2017,"Y cant “remove download” simply mean get it off my phone, stop showin me whats not downloaded on my phone, and not HIDE the track???? @118721 @AppleSupport",,,HUMAN_REVIEW_REQUIRED,human_pending
817686,817686,Thu Oct 12 20:41:15 +0000 2017,my laptop isnt working. itunes or i cant download anything @AppleSupport,,,HUMAN_REVIEW_REQUIRED,human_pending
2695982,2695982,Sun Nov 19 17:52:25 +0000 2017,IF MY MF PHONE DONT QUIT THAT BULLSHIT I️M GETTING ON APPLES ASS. @115858,,,HUMAN_REVIEW_REQUIRED,human_pending
