conversation_id,tweet_id,created_at,text,intent,escalation_label,notes,label_source
752202,752202,Sat Oct 07 00:35:18 +0000 2017,@AppleSupport why is my phone freezing and running hot after this update?,performance_stability,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
208463,208463,Wed Oct 04 06:39:20 +0000 2017,First it was the missing priority apps then it was the lockscreen. @AppleSupport wym??? https://t.co/heAESihtQG,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1657760,1657760,Mon Nov 06 02:41:58 +0000 2017,"Cmon @115858 - when I️ text the letter “I️”, I want that not I️ 
It’s annoying!
#FixIt",keyboard_input,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1575045,1575045,Sat Nov 04 05:17:14 +0000 2017,What is with the question marks when we type “I️” @AppleSupport @115858,keyboard_input,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1482989,1482989,Fri Nov 03 01:44:18 +0000 2017,@115858 y’all need to fix y’all shit got me sending unnecessary symbols 🤦🏽‍♂️😐,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
940449,940449,Wed Oct 11 01:27:35 +0000 2017,@AppleSupport @342946 the iOS11/Watch 4 updates have not played nice with my #starkeyhalos #applewatch. Bad connectivity.,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
695357,695357,Thu Nov 23 11:41:52 +0000 2017,What is up with the latest iOS? Everything is so slow and keeps freezing. Sort it out! @115858 @AppleSupport #Apple https://t.co/qRuDLWpQ7C,performance_stability,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2555460,2555460,Thu Nov 16 12:54:09 +0000 2017,This lagging while txting is trash. @AppleSupport what’s going on...,performance_stability,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
596857,596857,Sun Dec 03 18:52:42 +0000 2017,This phone is dope but it’s too fucking buggy I’m sick of it,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2827482,2827482,Sat Dec 02 08:59:08 +0000 2017,"@115858  @AppleSupport  your new IPhone bug is very ANNOYING , WHY THE HELL ITS KEEP REBOOTING , FIX THIS SHIT",performance_stability,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2052928,2052928,Fri Oct 06 00:23:25 +0000 2017,APPLE DELETED THE “DANGEROUS WOMAN “ ALBUM OFF MY ACCOUNT OUT OF NO WHERE HELLLL NO IM GONNA GET IT BACK @AppleSupport,apps_services,ESCALATE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
253482,253482,Thu Oct 05 17:00:59 +0000 2017,"@AppleSupport, me gusta como a mi iPhone ahora se va la pila más rápido y el lag en el teclado, ¡wow!
Gran actualización. 😒",performance_stability,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
243317,243317,Thu Oct 05 10:57:22 +0000 2017,"@115858 @AppleSupport La nueva actualización  #ios11 es una mierda,la bateria se esfuma ...deberíais echarle un ojo. Gracias",apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
639764,639764,Wed Nov 22 19:42:47 +0000 2017,@AppleSupport How can I keep my Apple keyboard media controls in charge of iTunes? Instead of having a web page stealing the controls priority and never returning it to iTunes? #HighSierra #Bug,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1467802,1467802,Thu Nov 02 22:01:45 +0000 2017,.@115858 please explain why the fuck the letter “I️” would autocorrect to this https://t.co/0EhhZHptSQ,keyboard_input,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1530035,1530035,Fri Nov 03 15:17:56 +0000 2017,@AppleSupport what’s up with iPhone “I️” turning into odd symbol?,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2355051,2355051,Mon Nov 13 18:28:44 +0000 2017,"just opened up Apple Music &amp; my entire elaborate, carefully created music library is COMPLETELY GONE @115858 @AppleSupport i’m about to have a meltdown. someone contact me right now &amp; fix this.",apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2906803,2906803,Tue Nov 28 19:32:20 +0000 2017,"Ok, I’m glad @115858 fixed the weird “I” issue but now my phone is changing “it“ to “I.T” 🙄🤬 is anyone else having this issue?! @AppleSupport",apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
219067,219067,Thu Oct 05 01:08:09 +0000 2017,Nice @115858. Less than a week old then WiFi and BT break on my new iPhone. I tried all your support articles. So glad I purchased! https://t.co/WKbGgSY6QV,connectivity,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2642596,2642596,Tue Oct 31 01:52:41 +0000 2017,@AppleSupport iMovie seems to be having major crashing issues....,performance_stability,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1354108,1354108,Mon Oct 16 12:27:20 +0000 2017,"@AppleSupport Bug in iOS 11.0.3 , whenever I toggle airplane mode it turns on the Bluetooth and Wifi antennas ON. https://t.co/X2eYLTMVjJ",connectivity,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2555283,2555283,Thu Nov 16 13:51:34 +0000 2017,@115858 if I️ see one more question mark box imma lose my shit..... fix it,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2046607,2046607,Thu Oct 05 01:49:52 +0000 2017,@AppleSupport is there a way to opt out of using ApplePay? Tired of getting notifications asking me to activate it.,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1472813,1472813,Thu Nov 02 23:58:50 +0000 2017,Why the fuck I can’t see emojis @AppleSupport,keyboard_input,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2132097,2132097,Wed Nov 08 19:39:09 +0000 2017,@AppleSupport how do I know when it’s verified? https://t.co/TOipy8PUBV,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2813640,2813640,Mon Nov 27 01:39:29 +0000 2017,"@AppleSupport what to do with the green line in the iphone X, i got yesterday.",hardware_accessories,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1673569,1673569,Mon Nov 06 16:32:40 +0000 2017,@115858 @AppleSupport when will there be a fix to the letter “I️” turning into an A with a question mark ?,keyboard_input,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
51699,51699,Wed Nov 01 17:33:11 +0000 2017,"@115858 Here's a thought: new phone numbers in iOS default to ""home fax."" Maybe that's something you could fix please, or is an inside joke?",apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1076396,1076396,Mon Oct 23 16:38:10 +0000 2017,@AppleSupport  new update sucks I get same text multiple times and my apps just close for no reason!,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
2054470,2054470,Thu Oct 05 05:25:57 +0000 2017,".@115858 are a bunch of thieves. Took NZD3,700 from my bank account, admitted they shouldn't have, and now won't refund it. #Apple #macbook",payments_purchases,ESCALATE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1845332,1845332,Wed Oct 18 03:42:59 +0000 2017,Just did the @115858 update and per usually my phone doesn’t work as well and my battery life is dying. #typcialappleproducts,battery_charging,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1671991,1671991,Mon Nov 06 04:06:17 +0000 2017,@AppleSupport I️ need you guys to fix the errors that came with the latest update. I️ know you’re a monopoly system n all but can I️ live,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1050844,1050844,Sat Oct 14 20:14:59 +0000 2017,@115858 @AppleSupport this new update #sucks! Please fix asap,apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
1451602,1451602,Thu Nov 02 15:53:21 +0000 2017,"Meu celular desligando sozinho
@AppleSupport que merda em",apps_services,AUTO_HANDLE,PROVISIONAL_SILVER: replace after human review,heuristic_silver
